Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specbzip1	1.551542	0.009703	0.000046	0.204023
specbzip2	1.790627	0.018864	0.000069	0.384215
specbzip3	1.756071	0.015868	0.000070	0.465377
specbzip4	1.574223	0.011891	0.000047	0.166513
specbzip5	1.574144	0.011891	0.000046	0.166506
specbzip6	1.574144	0.011891	0.000046	0.166510
specbzip7	1.556731	0.010273	0.000046	0.192764
specbzip8	1.597712	0.010896	0.000057	0.312559
specbzip9	1.597876	0.010896	0.000057	0.312993
specbzip10	1.551542	0.009703	0.000046	0.204023
