Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
speclibm1	1.883187	0.032168	0.000102	0.944590
speclibm2	3.648170	0.123694	0.000071	0.997075
speclibm3	3.648098	0.123577	0.000075	0.998511
speclibm4	1.874379	0.031517	0.000089	0.971545
speclibm5	1.874379	0.031517	0.000087	0.971559
speclibm6	1.874379	0.031517	0.000086	0.971562
speclibm7	1.865695	0.030867	0.000086	0.999997
speclibm8	2.467162	0.061731	0.000085	0.999999
speclibm9	2.467162	0.061731	0.000085	0.999999
speclibm10	1.865695	0.030867	0.000086	0.999997
