Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total
specmcf1	1.181221	0.001966	0.000016	0.758297
specmcf2	1.335364	0.018105	0.000055	0.316779
specmcf3	2.143559	0.005244	0.103163	0.042156
specmcf4	1.184956	0.002541	0.000036	0.578237
specmcf5	1.184904	0.002541	0.000023	0.581209
specmcf6	1.184816	0.002541	0.000016	0.583029
specmcf7	1.182096	0.002097	0.000016	0.705200
specmcf8	1.203137	0.003132	0.000022	0.863710
specmcf9	1.203047	0.003132	0.000022	0.863262
specmcf10	1.181221	0.001966	0.000016	0.758297
